levels,themes,formats,teams_l,teams_r,scores_l,scores_r,times
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,BLG,V,S,2025/05/02 19:00
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,DRG,2,1,2025/04/20 19:10
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,XLG,0,2,2025/04/19 19:15
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,FPX,2,0,2025/04/13 19:10
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,TEC,2,1,2025/04/05 19:30
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,DRG,2,1,2025/03/29 20:15
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,NOVA,0,2,2025/03/20 19:00
S级,VCT 2025: CN联赛 第一赛段,(BO3),EDG,TYL,2,0,2025/03/15 19:00
S级,VCT 2025: 曼谷大师赛,(BO5),EDG,T1,1,3,2025/03/01 18:00
S级,VCT 2025: 曼谷大师赛,(BO3),EDG,G2,0,2,2025/02/28 18:00
S级,VCT 2025: 曼谷大师赛,(BO3),EDG,T1,2,1,2025/02/27 18:00
S级,VCT 2025: 曼谷大师赛,(BO3),EDG,G2,2,1,2025/02/22 21:25
S级,VCT 2025: 曼谷大师赛,(BO3),EDG,TL,2,0,2025/02/20 18:00
A级,CN ES 2025: 第一幕 CN赛区 进化者系列公开赛,(BO3),EDG,JDG,0,2,2025/02/09 19:15
S级,VCT 2025: CN 联赛启点赛,(BO5),EDG,TE,3,1,2025/01/25 17:00
S级,VCT 2025: CN 联赛启点赛,(BO5),EDG,BLG,3,0,2025/01/24 17:00
S级,VCT 2025: CN 联赛启点赛,(BO3),EDG,DRG,2,0,2025/01/23 20:15
S级,VCT 2025: CN 联赛启点赛,(BO3),EDG,XLG,2,1,2025/01/22 20:00
S级,VCT 2025: CN 联赛启点赛,(BO3),EDG,TE,0,2,2025/01/20 19:00
S级,VCT 2025: CN 联赛启点赛,(BO3),EDG,NOVA,2,0,2025/01/17 19:00
A级,OFF//SEASON 2024: 超绝杯职业赛,(BO5),EDG,NOVA,1,3,2024/12/14 18:00
A级,OFF//SEASON 2024: 超绝杯职业赛,(BO3),EDG,TE,2,0,2024/12/13 20:00
A级,OFF//SEASON 2024: 超绝杯职业赛,(BO3),EDG,XLG,0,2,2024/12/11 19:00
A级,OFF//SEASON 2024: 超绝杯职业赛,(BO3),EDG,JDG,2,1,2024/12/09 17:00
A级,OFF//SEASON 2024: 超绝杯职业赛,(BO3),EDG,TEC,2,0,2024/12/08 19:30
A级,OFF//SEASON 2024: 电竞上海大师赛,(BO3),EDG,XLG,0,2,2024/12/06 16:00
A级,OFF//SEASON 2024: 源能亚洲邀请赛,(BO3),EDG,PRX,1,2,2024/11/24 19:58
A级,OFF//SEASON 2024: 源能亚洲邀请赛,(BO3),EDG,DFM,1,2,2024/11/22 19:03
B级,OFF//SEASON 2024: 韩国光州电竞系列赛,(BO3),EDG,GEN,0,2,2024/11/03 15:20
B级,OFF//SEASON 2024: 韩国光州电竞系列赛,(BO3),EDG,T1,0,2,2024/11/02 16:30
S级,VCT 2024: 全球冠军赛,(BO5),EDG,TH,3,2,2024/08/25 14:48
S级,VCT 2024: 全球冠军赛,(BO3),EDG,LEV,2,1,2024/08/23 14:55
S级,VCT 2024: 全球冠军赛,(BO3),EDG,SEN,2,1,2024/08/17 15:55
S级,VCT 2024: 全球冠军赛,(BO3),EDG,TE,2,0,2024/08/14 18:17
S级,VCT 2024: 全球冠军赛,(BO3),EDG,PRX,2,1,2024/08/11 18:18
S级,VCT 2024: 全球冠军赛,(BO3),EDG,G2,1,2,2024/08/07 19:09
S级,VCT 2024: 全球冠军赛,(BO3),EDG,FUT,2,0,2024/08/04 19:14
S级,VCT 2024: CN联赛 第二赛段,(BO5),EDG,FPX,3,2,2024/07/20 16:40
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,TE,2,0,2024/07/18 15:54
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,BLG,2,1,2024/07/17 18:10
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,BLG,2,0,2024/07/06 20:19
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,NOVA,2,0,2024/06/30 19:15
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,DRG,0,2,2024/06/27 18:51
S级,VCT 2024: CN联赛 第二赛段,(BO3),EDG,WOL,1,2,2024/06/22 19:05
S级,VCT 2024: 上海大师赛,(BO3),EDG,PRX,0,2,2024/06/01 18:50
S级,VCT 2024: 上海大师赛,(BO3),EDG,TH,0,2,2024/05/31 19:01
S级,VCT 2024: CN联赛 第一赛段,(BO5),EDG,FPX,3,1,2024/05/12 16:51
S级,VCT 2024: CN联赛 第一赛段,(BO5),EDG,DRG,3,1,2024/05/11 16:51
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,FPX,0,2,2024/05/10 16:51
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,DRG,2,0,2024/05/09 19:32
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,TE,2,0,2024/05/05 19:00
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,AG,2,0,2024/05/02 19:00
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,FPX,1,2,2024/04/27 20:30
S级,VCT 2024: CN联赛 第一赛段,(BO3),EDG,TEC,2,0,2024/04/21 20:45
